837  32700-32700/? D/dalvikvm©s Late-enabling CheckJNI
667    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
677    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
677  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
677  32700-32713    D/BluetoothGatt©s onSearchComplete() = Device=B4:99:4C:4C:EE:EF Status=0
677  32700-32713    V/uBleService©s onServicesDiscovered received: 0
677  32700-32713    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF
677  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_GATT_SERVICES_DISCOVERED
677  32700-32700    V/uBleDeviceAdapter©s onServiceDiscovered B4:99:4C:4C:EE:EF,0
677  32700-32700    V/uBleDeviceAdapter©s enableDataNotify 0000ffe0-0000-1000-8000-00805f9b34fb,0000ffe4-0000-1000-8000-00805f9b34fb
677  32700-32700    V/uBleService©s enableNotify: B4:99:4C:4C:EE:EF,0000ffe4-0000-1000-8000-00805f9b34fb
677  32700-32700    D/BluetoothGatt©s setCharacteristicNotification() - uuid: 0000ffe4-0000-1000-8000-00805f9b34fb enable: true
677  32700-32700    V/uBleGatt©s writeDescriptor 00002902-0000-1000-8000-00805f9b34fb
677  32700-32700    D/BluetoothGatt©s writeDescriptor() - uuid: 00002902-0000-1000-8000-00805f9b34fb
677  32700-32700    V/uBleDeviceAdapter©s enablePasswordNotify 0000ffc0-0000-1000-8000-00805f9b34fb,0000ffc2-0000-1000-8000-00805f9b34fb
677  32700-32700    V/uBleService©s enableNotify: B4:99:4C:4C:EE:EF,0000ffc2-0000-1000-8000-00805f9b34fb
687  32700-32700    D/BluetoothGatt©s setCharacteristicNotification() - uuid: 0000ffc2-0000-1000-8000-00805f9b34fb enable: true
687  32700-32700    V/uBleGatt©s writeDescriptor 00002902-0000-1000-8000-00805f9b34fb
687  32700-32700    D/BluetoothGatt©s writeDescriptor() - uuid: 00002902-0000-1000-8000-00805f9b34fb
767  32700-32714    D/BluetoothGatt©s onDescriptorWrite() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe4-0000-1000-8000-00805f9b34fb
797  32700-32700    V/uBleDeviceAdapter©s getDeviceName 0000ff90-0000-1000-8000-00805f9b34fb,0000ff91-0000-1000-8000-00805f9b34fb
797  32700-32700    V/uBleService©s read: B4:99:4C:4C:EE:EF,0000ff91-0000-1000-8000-00805f9b34fb
797  32700-32700    D/BluetoothGatt©s readCharacteristic() - uuid: 0000ff91-0000-1000-8000-00805f9b34fb
867  32700-32713    D/BluetoothGatt©s onCharacteristicRead() - Device=B4:99:4C:4C:EE:EF UUID=0000ff91-0000-1000-8000-00805f9b34fb Status=0
867  32700-32713    V/uBleService©s onCharacteristicRead received: 0000ff91-0000-1000-8000-00805f9b34fb,0
867  32700-32713    V/uBleService©s data bytes: 8
867  32700-32713    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ff91-0000-1000-8000-00805f9b34fb
867  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_DATA_READ
867  32700-32700    V/uBleDeviceAdapter©s onDataRead B4:99:4C:4C:EE:EF,0000ff91-0000-1000-8000-00805f9b34fb,0,54 76 32 32 31 75 2D 33
877  32700-32700    V/uBleDeviceAdapter©s getTransmitDelta 0000ff90-0000-1000-8000-00805f9b34fb,0000ff92-0000-1000-8000-00805f9b34fb
877  32700-32700    V/uBleService©s read: B4:99:4C:4C:EE:EF,0000ff92-0000-1000-8000-00805f9b34fb
877  32700-32700    D/BluetoothGatt©s readCharacteristic() - uuid: 0000ff92-0000-1000-8000-00805f9b34fb
957  32700-32714    D/BluetoothGatt©s onCharacteristicRead() - Device=B4:99:4C:4C:EE:EF UUID=0000ff92-0000-1000-8000-00805f9b34fb Status=0
967  32700-32714    V/uBleService©s onCharacteristicRead received: 0000ff92-0000-1000-8000-00805f9b34fb,0
967  32700-32714    V/uBleService©s data bytes: 1
967  32700-32714    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ff92-0000-1000-8000-00805f9b34fb
967  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_DATA_READ
967  32700-32700    V/uBleDeviceAdapter©s onDataRead B4:99:4C:4C:EE:EF,0000ff92-0000-1000-8000-00805f9b34fb,0,00
967  32700-32700    V/uBleDeviceAdapter©s getUARTRate 0000ff90-0000-1000-8000-00805f9b34fb,0000ff93-0000-1000-8000-00805f9b34fb
967  32700-32700    V/uBleService©s read: B4:99:4C:4C:EE:EF,0000ff93-0000-1000-8000-00805f9b34fb
967  32700-32700    D/BluetoothGatt©s readCharacteristic() - uuid: 0000ff93-0000-1000-8000-00805f9b34fb
057    32700-772    D/BluetoothGatt©s onCharacteristicRead() - Device=B4:99:4C:4C:EE:EF UUID=0000ff93-0000-1000-8000-00805f9b34fb Status=0
057    32700-772    V/uBleService©s onCharacteristicRead received: 0000ff93-0000-1000-8000-00805f9b34fb,0
057    32700-772    V/uBleService©s data bytes: 1
057    32700-772    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ff93-0000-1000-8000-00805f9b34fb
067  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_DATA_READ
067  32700-32700    V/uBleDeviceAdapter©s onDataRead B4:99:4C:4C:EE:EF,0000ff93-0000-1000-8000-00805f9b34fb,0,05
067  32700-32700    V/uBleDeviceAdapter©s getBroadcastFrequency 0000ff90-0000-1000-8000-00805f9b34fb,0000ff95-0000-1000-8000-00805f9b34fb
067  32700-32700    V/uBleService©s read: B4:99:4C:4C:EE:EF,0000ff95-0000-1000-8000-00805f9b34fb
067  32700-32700    D/BluetoothGatt©s readCharacteristic() - uuid: 0000ff95-0000-1000-8000-00805f9b34fb
157  32700-32713    D/BluetoothGatt©s onCharacteristicRead() - Device=B4:99:4C:4C:EE:EF UUID=0000ff95-0000-1000-8000-00805f9b34fb Status=0
157  32700-32713    V/uBleService©s onCharacteristicRead received: 0000ff95-0000-1000-8000-00805f9b34fb,0
157  32700-32713    V/uBleService©s data bytes: 1
157  32700-32713    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ff95-0000-1000-8000-00805f9b34fb
167  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_DATA_READ
167  32700-32700    V/uBleDeviceAdapter©s onDataRead B4:99:4C:4C:EE:EF,0000ff95-0000-1000-8000-00805f9b34fb,0,00
187  32700-32700    V/uBleDeviceAdapter©s getTransmitPower 0000ff90-0000-1000-8000-00805f9b34fb,0000ff97-0000-1000-8000-00805f9b34fb
187  32700-32700    V/uBleService©s read: B4:99:4C:4C:EE:EF,0000ff97-0000-1000-8000-00805f9b34fb
187  32700-32700    D/BluetoothGatt©s readCharacteristic() - uuid: 0000ff97-0000-1000-8000-00805f9b34fb
257    32700-772    D/BluetoothGatt©s onCharacteristicRead() - Device=B4:99:4C:4C:EE:EF UUID=0000ff97-0000-1000-8000-00805f9b34fb Status=0
257    32700-772    V/uBleService©s onCharacteristicRead received: 0000ff97-0000-1000-8000-00805f9b34fb,0
257    32700-772    V/uBleService©s data bytes: 1
257    32700-772    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ff97-0000-1000-8000-00805f9b34fb
267  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_DATA_READ
267  32700-32700    V/uBleDeviceAdapter©s onDataRead B4:99:4C:4C:EE:EF,0000ff97-0000-1000-8000-00805f9b34fb,0,01
277  32700-32700    V/uBleDeviceAdapter©s submitPassword 0000ffc0-0000-1000-8000-00805f9b34fb,0000ffc1-0000-1000-8000-00805f9b34fb,000000
277  32700-32700    V/uBleService©s write: B4:99:4C:4C:EE:EF,0000ffc1-0000-1000-8000-00805f9b34fb
277  32700-32700    D/BluetoothGatt©s writeCharacteristic() - uuid: 0000ffc1-0000-1000-8000-00805f9b34fb
357  32700-32713    D/BluetoothGatt©s onNotify() - Device=B4:99:4C:4C:EE:EF UUID=0000ffc2-0000-1000-8000-00805f9b34fb
357  32700-32713    V/uBleService©s onCharacteristicChanged received: 0000ffc2-0000-1000-8000-00805f9b34fb
357  32700-32713    V/uBleService©s onCharacteristicChanged data: 00
357  32700-32713    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ffc2-0000-1000-8000-00805f9b34fb
357  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_DATA_NOTIFY
357  32700-32700    V/uBleDeviceAdapter©s onDataNotify B4:99:4C:4C:EE:EF,0000ffc2-0000-1000-8000-00805f9b34fb,00
357    32700-772    D/BluetoothGatt©s onCharacteristicWrite() - Device=B4:99:4C:4C:EE:EF UUID=0000ffc1-0000-1000-8000-00805f9b34fb Status=0
357    32700-772    V/uBleService©s onCharacteristicWrite received: 0000ffc1-0000-1000-8000-00805f9b34fb,0
357    32700-772    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ffc1-0000-1000-8000-00805f9b34fb
367  32700-32700    V/uAbstractDeviceAdapter©s send data: FB 10 28 59 8C 46 10 D3 49 95 18 FF
377  32700-32700    V/uBleDeviceAdapter©s writeToDevice 0000ffe5-0000-1000-8000-00805f9b34fb,0000ffe9-0000-1000-8000-00805f9b34fb,FB 10 28 59 8C 46 10 D3 49 95 18 FF
377  32700-32700    V/uBleService©s write: B4:99:4C:4C:EE:EF,0000ffe9-0000-1000-8000-00805f9b34fb
377  32700-32700    D/BluetoothGatt©s writeCharacteristic() - uuid: 0000ffe9-0000-1000-8000-00805f9b34fb
