08-11 600    /? D/dalvikvm©s Late-enabling CheckJNI
08-11 670       V/uBleService©s Bind service on device
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getTotalMemory ()J
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getFreeMemory ()J
08-11 710       V/uBleService©s Register service :android.app.Application
08-11 710       D/BluetoothAdapter©s startLeScan(): null
08-11 730       D/BluetoothAdapter©s onClientRegistered() - status=0 clientIf=5
08-11 730       V/uBleScanner©s StartLeScan.
08-11 760       I/Adreno-EGL©s <qeglDrvAPI_eglInitialize:410>: EGL 1.4 QUALCOMM build:  ()
    OpenGL ES Shader Compiler Version: E031.24.00.15
    Build Date: 04/21/15 Tue
    Local Branch:
    Remote Branch:
    Local Patches:
    Reconstruct Branch:
08-11 810       D/OpenGLRenderer©s Enabling debug mode 0
08-11 820       V/uBleService©s Service connected
08-11 470       D/BluetoothGatt©s writeDescriptor() - uuid: 00002902-0000-1000-8000-00805f9b34fb
08-11 480       V/uBleDeviceAdapter©s enablePasswordNotify 0000ffc0-0000-1000-8000-00805f9b34fb,0000ffc2-0000-1000-8000-00805f9b34fb
08-11 480       V/uBleService©s enableNotify: B4:99:4C:4C:EE:EF,0000ffc2-0000-1000-8000-00805f9b34fb
08-11 480       D/BluetoothGatt©s setCharacteristicNotification() - uuid: 0000ffc2-0000-1000-8000-00805f9b34fb enable: true
08-11 480       V/uBleGatt©s writeDescriptor 00002902-0000-1000-8000-00805f9b34fb
08-11 480       D/BluetoothGatt©s writeDescriptor() - uuid: 00002902-0000-1000-8000-00805f9b34fb
08-11 530       D/BluetoothGatt©s onDescriptorWrite() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe4-0000-1000-8000-00805f9b34fb
08-11 620       V/uAbstractProtocolConnection©s startConnection -64,0
08-11 620       V/uAbstractProtocolConnection©s sendApplicationData CONNECT,CTRL
08-11 620       V/uAbstractProtocolQueue©s send packet uProtocolPacket@type:0@operation:-64@error:0@data:null
08-11 620       V/uAbstractProtocolQueue©s send sequence 0
08-11 720       V/uAbstractProtocolQueue©s sendHandler data 04 00 20 C0 00 21
08-11 730       V/uAbstractDeviceAdapter©s send data: 04 00 20 C0 00 21
08-11 730       V/uBleDeviceAdapter©s writeToDevice 0000ffe5-0000-1000-8000-00805f9b34fb,0000ffe9-0000-1000-8000-00805f9b34fb,04 00 20 C0 00 21
08-11 730       V/uBleService©s write: B4:99:4C:4C:EE:EF,0000ffe9-0000-1000-8000-00805f9b34fb
08-11 740       D/BluetoothGatt©s writeCharacteristic() - uuid: 0000ffe9-0000-1000-8000-00805f9b34fb
08-11 740       D/BluetoothGatt©s onCharacteristicWrite() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe9-0000-1000-8000-00805f9b34fb Status=0
08-11 750       V/uBleService©s onCharacteristicWrite received: 0000ffe9-0000-1000-8000-00805f9b34fb,0
08-11 750       V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ffe9-0000-1000-8000-00805f9b34fb
08-11 750       V/uBleService©s Service Call Back on Action com.uteacher.www.uteacherble.ACTION_DATA_WRITE
08-11 750       V/uBleDeviceAdapter©s onDataWrite B4:99:4C:4C:EE:EF,0000ffe9-0000-1000-8000-00805f9b34fb,0
08-11 820       D/BluetoothGatt©s onNotify() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe4-0000-1000-8000-00805f9b34fb
08-11 830       V/uBleService©s onCharacteristicChanged received: 0000ffe4-0000-1000-8000-00805f9b34fb
08-11 830       V/uBleService©s onCharacteristicChanged data: 00 00 00 00 00 00 00 00 00 00 00 00
08-11 830       V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF,0000ffe4-0000-1000-8000-00805f9b34fb
08-11 840       V/uBleService©s Service Call Back on Action com.uteacher.www.uteacherble.ACTION_DATA_NOTIFY
08-11 840       V/uBleDeviceAdapter©s onDataNotify B4:99:4C:4C:EE:EF,0000ffe4-0000-1000-8000-00805f9b34fb,00 00 00 00 00 00 00 00 00 00 00 00
08-11 850       V/uAbstractDeviceAdapter©s receive data: 00 00 00 00 00 00 00 00 00 00 00 00
08-11 850       V/uAbstractProtocolQueue©s receive data 00 00 00 00 00 00 00 00 00 00 00 00
08-11 850       W/System.err©s com.uteacher.www.uteacherble.uProtocol.Exception.uPacketLengthError
08-11 860       W/System.err©s at com.uteacher.www.uteacherble.uProtocol.uAbstractProtocolStack.parseByte(uAbstractProtocolStack.java:116)
08-11 860       W/System.err©s at com.uteacher.www.uteacherble.uProtocol.Queue.uAbstractProtocolQueue.receive(uAbstractProtocolQueue.java:97)
08-11 860       W/System.err©s at com.uteacher.www.uteacherble.uDeviceAdapter.uAbstractDeviceAdapter.receive(uAbstractDeviceAdapter.java:37)
08-11 860       W/System.err©s at com.uteacher.www.uteacherble.uDeviceAdapter.uBleDeviceAdapter.onDataNotify(uBleDeviceAdapter.java:415)
08-11 860       W/System.err©s at com.uteacher.www.uteacherble.uBluetooth.uBleService$3.onReceive(uBleService.java:220)
08-11 860       W/System.err©s at android.app.LoadedApk$ReceiverDispatcher$Args.run(LoadedApk.java:761)
08-11 860       W/System.err©s at android.os.Handler.handleCallback(Handler.java:733)
08-11 860       W/System.err©s at android.os.Handler.dispatchMessage(Handler.java:95)
08-11 860       W/System.err©s at android.os.Looper.loop(Looper.java:136)
08-11 860       W/System.err©s at android.app.ActivityThread.main(ActivityThread.java:5047)
08-11 860       W/System.err©s at java.lang.reflect.Method.invokeNative(Native Method)
08-11 860       W/System.err©s at java.lang.reflect.Method.invoke(Method.java:515)
08-11 860       W/System.err©s at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:793)
08-11 860       W/System.err©s at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:609)
